level,de,it
A1.1,Hund,cane
A1.1,Katze,gatto
A1.1,Haus,casa
A1.1,Apfel,mela
A1.1,Fisch,pesce
A1.1,Stuhl,sedia
A1.1,Tisch,tavolo
A1.1,Schule,scuola
A1.1,Buch,libro
A1.1,Auto,macchina
A1.1,Freund,amico
A1.1,Familie,famiglia
A1.1,Stadt,città
A1.1,Brot,pane
A1.1,Milch,latte
A1.1,Lehrer,insegnante
A1.1,Student,studente
A1.1,Kind,bambino
A1.1,Sommer,estate
A1.1,Wasser,acqua
A2.1,Flughafen,aeroporto
A2.1,Zug,tren
A2.1,Fluss,fiume
A2.1,Berg,montagna
A2.1,Wald,bosco
A2.1,Geschenk,regalo
A2.1,Hemd,camicia
A2.1,Hose,pantalone
A2.1,Schuh,scarpa
A2.1,Anzug,completo
A2.1,Kuchen,dolce
A2.1,Zucker,zucchero
A2.1,Salz,sale
A2.1,Bleistift,matita
A2.1,Tinte,inchiostro
A2.1,Schlüssel,chiave
A2.1,Garten,giardino
A2.1,Kamera,macchina fotografica
A2.1,Radio,radio
A2.1,Fernseher,televisore
B1.1,Wirtschaft,economia
B1.1,Politik,politica
B1.1,Kunst,arte
B1.1,Geschichte,storia
B1.1,Literatur,letteratura
B1.1,Mathematik,matematica
B1.1,Physik,fisica
B1.1,Chemie,chimica
B1.1,Biologie,biologia
B1.1,Philosophie,filosofia
B1.1,Technologie,tecnologia
B1.1,Computer,computer
B1.1,Internet,internet
B1.1,Software,software
B1.1,Hardware,hardware
B1.1,Umwelt,ambiente
B1.1,Erneuerbare Energien,energie rinnovabili
B1.1,Verkehr,traffico
B1.1,Architektur,architettura
B1.1,Musik,musica
B2.1,Vertrag,contratto
B2.1,Gesellschaft,società
B2.1,Integration,integrazione
B2.1,Kritik,critica
B2.1,Debatte,discussione
B2.1,Entwicklung,sviluppo
B2.1,Innovation,innovazione
B2.1,Kommunikation,comunicazione
B2.1,Strategie,strategia
B2.1,Analyse,analisi
B2.1,Management,gestione
B2.1,Produktivität,produttività
B2.1,Qualität,qualità
B2.1,Sicherheit,sicurezza
B2.1,Gerechtigkeit,giustizia
B2.1,Demokratie,democrazia
B2.1,Globalisierung,globalizzazione
B2.1,Wettbewerb,concorrenza
B2.1,Erfolg,successo
B2.1,Karriere,carriera
C1.1,Wissenschaft,scienza
C1.1,Forschung,ricerca
C1.1,Publikation,pubblicazione
C1.1,These,tesi
C1.1,Antithese,antitesi
C1.1,Diskussion,discussione
C1.1,Hypothese,ipotesi
C1.1,Empirie,empiria
C1.1,Theorie,teoria
C1.1,Modell,modello
C1.1,Experiment,esperimento
C1.1,Beweis,prova
C1.1,Erkenntnis,conoscenza
C1.1,Interpretation,interpretazione
C1.1,Korrelation,correlazione
C1.1,Kausalität,causalità
C1.1,Datenanalyse,analisi dei dati
C1.1,Methodologie,metodologia
C1.1,Paradigma,paradigma
C1.1,Kontext,contesto
